BLACK,black,Black,MD0001,BLK
NAVY,navy,Navy,,NAY
CREAM,cream,Cream,,CRM
WHITE,white,White,,WHT
SILVER,silver,Silver,,SIR
PEWTER,pewter,Pewter,,PER
TAUPE,taupe,Taupe,,TAP
OYSTER,oyster,Oyster,,OYR
OCEAN,ocean,Ocean,,OCN
RASPBERRY,raspberry,Raspberry,,RAY
PURPLE,purple,Purple,,PUL
COBALT,cobalt,Cobalt,,COT
LAVENDER,lavender,Lavender,,LAR
RED,red,Red,,RED
NATURAL,natural,Natural,NAL
PALE PINK,pale pink,Pale pink,,PPK
CITRUS,citrus,Citrus,,CIS
FUSCHIA,fuschia,Fuschia,MD1025,FUA
VIOLET,violet,Violet,MD10026,VIT
EMERALD,emerald,Emerald,MD10077,EMD
SAPPHIRE,sapphire,Sapphire,MD0083,SAR
CLARET,claret,Claret,MD10027,CLT
MOCCHA,moccha,Moccha,MD0089,MOA
GOLD,gold,Gold,MD10047,GOD
CLOVER,clover,Clover,MD10019,CLR
MINK,mink,Mink,MD10040,MIK
CHOCK,chock,Chock,MD10038,CHK
CERISE,cerise,Cerise,MD1007,CES
TURQ,turq,Turq,MD10079,TUQ
MOSS,moss,Moss,MD10082,MOS
DENIM,denim,Denim,MD10082,DEM
GREEN,green,Green,MD10071,GRN
MANDARIN,mandarin,Mandarin,MD10023,MAN
BLACK POLKA,black polka,Black polka,MD10054,BPA
WHITE POLKA,white polka,White polka,MD100094,WPA
