BLACK	=> BLK
NAVY	=>  NAY
CREAM	=> CRM
WHITE	=> WHT
SILVER	=> SIR
PEWTER	=> PER
TAUPE	=> TAP
OYSTER	=> OYR
OCEAN	=> OCN
RASPBERRY	=> RAY
PURPLE	=> PUL
COBALT	=> COT
LAVENDER	=> LAR
RED	=> RED
NATURAL,NAL
PALE PINK	=> 
CITRUS	=> CIS
FUSCHIA	=> FUA
VIOLET	=>  VIT
EMERALD	=>  EMD
SAPPHIRE	=>  SAR
CLARET	=> CLT
MOCCHA	=>  MOA
GOLD	=>  GOD
CLOVER	=>  CLR
MINK	=>  MIK
CHOCK	=>  CHK
CERISE	=>  CES
TURQ	=>  TUQ
MOSS	=>  MOS
DENIM	=>  DEM
GREEN	=>  GRN
MANDARIN	=>  MAN
BLACK POLKA	=>  BPA
WHITE POLKA	=>  WPA
